,FARE
0,55.689904975584845
1,39.58102412525369
2,117.81341336283687
3,39.33771612051993
4,24.375570065947457
5,280.505836648808
6,408.8884162774124
7,57.985279201148145
8,203.18235312368415
9,47.584977428020366
10,100.65068219164723
11,381.1099356729064
12,97.95435044835993
13,86.42289326591866
14,43.025869213790585
15,42.342489660084865
16,367.7096207060367
17,89.85945119253327
18,421.85772568602187
19,54.379399383226534
20,87.99200786118811
21,96.13888994668704
22,83.59565228994917
23,248.75531049116918
24,544.0710634430623
25,83.252347747344
26,58.38697815862827
27,990.9190947395775
28,219.87655995486088
29,45.24534522865026
30,530.4623777434575
31,610.611739551747
32,95.22296688804985
33,375.8402191299958
34,186.87021627146723
35,84.76250266142885
36,97.94951538373712
37,98.58644947801025
38,52.15272013989024
39,38.32427635928042
40,410.88030118710736
41,591.3617504674938
42,87.50264007746887
43,55.510656385964936
44,59.13640134922953
45,86.19014006117541
46,39.135274332755785
47,482.4354526001996
48,88.9450298020622
49,56.36072829730926
50,606.9182125667254
51,106.2669494872972
52,71.33321030870307
53,880.1060626210304
54,82.89292099730625
55,183.454831601537
56,33.16110601032668
57,1190.9594935225148
58,362.7394234909216
59,561.5229173167662
60,49.7446936311995
61,36.45162094432041
62,88.38426780933891
63,54.062767106945486
64,224.47154339743668
65,15.607280718521087
66,53.159637296732114
67,51.531522071342046
68,345.70811055951725
69,85.12322431630626
70,871.8046366777114
71,91.8946001281314
72,1213.2366425122664
73,306.93158917348813
74,92.34754973587565
75,38.76127080764823
76,51.585522604679454
77,89.01810735492876
78,41.86007977997037
79,479.38146900032206
80,545.0647655297946
81,90.7325141692788
82,415.90773058477447
83,44.75865318688033
84,645.7863572190294
85,79.10290061427193
86,100.31781595553777
87,957.0750563457334
88,100.46279979929791
89,289.50554061235437
90,87.15451771014727
91,944.1898086722305
92,836.6046346248432
93,66.80826965247009
94,48.14799126875894
95,39.16004001455126
96,521.2305301013316
97,63.70887588731418
98,1026.6453144215284
99,766.9813423296378
100,547.7082594699315
101,955.0936921961594
102,963.3961779004192
103,45.799182721316754
104,98.94255312982456
105,445.9892180784135
106,51.265694263508756
107,618.3005835881922
108,409.7222194333982
109,83.35760054002516
110,55.92597377939714
111,203.23118342524515
112,27.362917625943105
113,150.86294144236362
114,68.63687053563459
115,59.56479250584392
116,46.49965814343298
117,53.752872896661394
118,368.3857405764109
119,415.4546453853041
120,191.49162884723785
121,54.66451472479568
122,571.2971481672878
123,98.93854603800982
124,733.8128221579567
125,70.8267000134193
126,39.413586967502
127,79.41157342428504
128,427.80927284203045
129,91.77771721776729
130,450.2103318968853
131,175.5955382420958
132,877.0060283222031
133,267.79192664836125
134,46.21524846973666
135,584.8847739027813
136,119.55175066566929
137,99.18940738993663
138,501.4302233798485
139,52.34178542076981
140,567.6586907997271
141,53.34292880099522
142,51.009691237850504
143,89.97235281947394
144,48.00817756557577
145,58.59307836714935
146,455.7008491773642
147,669.1036043620387
148,73.13995398995652
149,384.3843174798896
150,57.0479971074583
151,79.89485882349383
152,602.638437594994
153,238.92893088553308
154,47.78194516119999
155,401.6990506477818
156,706.7174603355069
157,94.77223061020966
158,300.4472214473606
159,1005.1174742645792
160,96.64099431354198
161,82.1390983978598
162,42.361675660617124
163,53.96628419576104
164,736.8510883717679
165,265.2723174300409
166,722.9331502373574
167,57.988904435937656
168,1028.2125076040468
169,351.73242366433686
170,425.50477776795947
171,394.06696785533336
172,69.06828670667657
173,41.28289821620908
174,77.87703362824152
175,60.11852304467335
176,372.9477540390085
177,948.9589722332996
178,49.58301959351864
179,14.271224338077444
180,757.8530498418828
181,62.74880736943161
182,98.41182262533788
183,180.16772106798618
184,52.40964541427515
185,485.3054066450472
186,536.2880146639652
187,482.6093187032145
188,342.5149393622296
189,355.9646125643203
190,51.467393892857025
191,634.5413840863134
192,92.2620949995381
193,74.65892786148028
194,964.5583749327412
195,35.173109248394965
196,44.352144637206344
197,352.94212394104915
198,60.12433866157318
199,141.538619072121
200,52.73854318959415
201,96.50074402908982
202,264.933704200213
203,47.621825269206205
204,45.29686544731204
205,67.80429859094598
206,83.79349644289341
207,571.0938081928351
208,99.66582548695696
209,54.80493486817338
210,1170.4615395167925
211,42.65238998604161
212,51.36307593474914
213,721.7544265159804
214,542.1619498648653
215,83.49262788223615
216,242.11225405246614
217,860.2224479540852
218,50.002182823658806
219,488.51349407568995
220,47.97412516574402
221,48.55761135777717
222,563.678671658869
223,33.41905761314471
224,672.3923471242547
225,77.25470986954846
226,55.605143701898804
227,722.2132243268401
228,52.54434949847435
229,101.89089648990435
230,357.0186095590394
231,484.283752384797
232,258.6101089431442
233,986.4088257541835
234,317.5010475089189
235,32.8914490995435
236,58.33871216608797
237,83.97411564313677
238,56.808391820780244
239,309.83423985692946
240,97.52048371951079
241,430.13249782377403
242,56.63626789083184
243,45.57347364896466
244,102.04926555170842
245,611.8851723647762
246,182.7745888549321
247,40.35670183827602
248,74.86579746150176
249,288.35906120747194
250,44.33246916344476
251,868.9560310525035
252,420.9756933064591
253,48.923188785041916
254,430.4937066604062
255,35.34064730008585
